text,intent,language,label
pichle payment ki,payment_history,hinglish,12
नमस्ते,greet,hindi,9
कितना पेमेंट बाकी है,payment_inquiry,hindi,13
complaint karni hai,report_issue,hinglish,14
मैंने कितना पेमेंट किया,payment_history,hindi,12
hi,greet,english,9
ड्यू कितना है,payment_inquiry,hindi,13
kitna payment baaki hai,payment_inquiry,hinglish,13
स्टेशन खुला है क्या,check_station_availability,hindi,5
से बात कराओ,talk_to_agent,hindi,19
battery condition,check_battery_status,english,3
मेरा प्लान क्या है,check_subscription,hindi,6
is station open,check_station_availability,english,5
स्वैप स्टेशन ढूंढो,find_swap_station,hindi,8
पेमेंट कैसे करूं,make_payment,hindi,11
फिर बात करते हैं,bye,hindi,1
battery status kya hai,check_battery_status,hinglish,3
when was last swap,swap_history,english,18
कोई इंसान चाहिए,talk_to_agent,hindi,19
plan change karna hai,upgrade_subscription,hinglish,22
nahi,deny,hinglish,7
payment record batao,payment_history,hinglish,12
सब्सक्रिप्शन बढ़ाना है,subscription_renewal,hindi,16
किसी से बात करनी है,talk_to_agent,hindi,19
total kilometers,check_ride_stats,english,4
battery mein kitna charge hai,check_battery_status,hinglish,3
how much battery remaining,check_battery_status,english,3
वहां बैटरी मिलेगी क्या,check_station_availability,hindi,5
कितनी बैटरी,swap_history,hindi,18
find swap station near,find_swap_station,english,8
what is my battery status,check_battery_status,english,3
पास में स्वैप स्टेशन कहाँ है,find_swap_station,hindi,8
how many swaps today,swap_history,english,18
good morning,greet,english,9
how to pay,make_payment,english,11
mera plan kya hai,check_subscription,hinglish,6
na bhai,deny,hinglish,7
कुछ गड़बड़ है,report_issue,hindi,14
where can I swap battery,find_swap_station,english,8
बैटरी की स्थिति बताओ,check_battery_status,hindi,3
कितना पेमेंट बाकी है,payment_inquiry,hindi,13
पेमेंट रिकॉर्ड बताओ,payment_history,hindi,12
what is the range,check_battery_range,english,2
मेरी बैटरी कितनी चार्ज है,check_battery_status,hindi,3
battery health kaisi hai,check_battery_status,hinglish,3
शुक्रिया,thank,hindi,20
aaj kitne swap kiye,swap_history,hinglish,18
zara kuch gadbad hai,report_issue,hinglish,14
चार्ज कितना है बैटरी में,check_battery_status,hindi,3
स्वैप रिकॉर्ड बताओ,swap_history,hindi,18
shukriya,thank,hinglish,20
previous transactions,payment_history,english,12
राइड स्टैट्स दिखाओ,check_ride_stats,hindi,4
navigate to station,station_directions,english,15
kya kar sakte ho,help_general,hinglish,10
yes,affirm,english,0
madad chahiye,help_general,hinglish,10
facing issue,report_issue,english,14
कौन सा प्लान चल रहा है,check_subscription,hindi,6
na,deny,hinglish,7
locate swap point,find_swap_station,english,8
thoda swap history dikhao,swap_history,hinglish,18
se connect karo,talk_to_agent,hinglish,19
how many swaps today,swap_history,english,18
right,affirm,english,0
हाँ,affirm,hindi,0
charge level kya hai,check_battery_status,hinglish,3
नहीं चाहिए,deny,hindi,7
bye,bye,english,1
better plan batao,upgrade_subscription,hinglish,22
what can you do,help_general,english,10
असली व्यक्ति से बात कराओ,talk_to_agent,hindi,19
payment karna hai bhai,make_payment,hinglish,11
mera bill kitna hai,payment_inquiry,hinglish,13
असली व्यक्ति से बात कराओ,talk_to_agent,hindi,19
plan extend karna hai,subscription_renewal,hinglish,16
aaj kitna chala,check_ride_stats,hinglish,4
बैटरी से कितना चल सकता है,check_battery_range,hindi,2
maine kitna kiya,payment_history,hinglish,12
thank you,thank,english,20
battery hai station pe,check_station_availability,hinglish,5
जी हां,affirm,hindi,0
aaj kitne swap kiye,swap_history,hinglish,18
how much payment is due,payment_inquiry,english,13
battery kitni bachi hai,check_battery_status,hinglish,3
bhai problem hai,report_issue,hinglish,14
thank you so much,thank,english,20
प्लान फिर से लेना है,subscription_renewal,hindi,16
kitne km hue,check_ride_stats,hinglish,4
haan,affirm,hinglish,0
how to reach the station,station_directions,english,15
कौन सा प्लान चल रहा है,check_subscription,hindi,6
सब्सक्रिप्शन की जानकारी दो,check_subscription,hindi,6
बैटरी की जानकारी दो,check_battery_status,hindi,3
is battery available at station,check_station_availability,english,5
plan change karna hai,upgrade_subscription,hinglish,22
पेमेंट करना है,make_payment,hindi,11
show swap history,swap_history,english,18
help,help_general,english,10
I want to make payment,make_payment,english,11
पेमेंट कितना करना है,payment_inquiry,hindi,13
when does my plan expire,check_subscription,english,6
thank you,thank,hinglish,20
payment history dikhao,payment_history,hinglish,12
nahi zara,deny,hinglish,7
please wahan battery milegi kya,check_station_availability,hinglish,5
प्लान अपग्रेड करना है,upgrade_subscription,hindi,22
customer care connect karo,talk_to_agent,hinglish,19
real person se connect karo,talk_to_agent,hinglish,19
meri battery ki condition kya hai,check_battery_status,hinglish,3
check my dues,payment_inquiry,english,13
बैटरी से कितना चल सकता है,check_battery_range,hindi,2
meri battery ki condition kya hai thoda,check_battery_status,hinglish,3
thoda madad chahiye,help_general,hinglish,10
report an issue,report_issue,english,14
is my battery fully charged,check_battery_status,english,3
how many swaps this month,swap_count,english,17
battery percentage batao,check_battery_status,hinglish,3
plan upgrade karna hai thoda,upgrade_subscription,hinglish,22
मेरा सब्सक्रिप्शन कब खत्म होगा,check_subscription,hindi,6
नजदीक में स्टेशन है क्या,find_swap_station,hindi,8
continue subscription,subscription_renewal,english,16
pay my bill,make_payment,english,11
where is the nearest swap station,find_swap_station,english,8
maine kitna payment kiya,payment_history,hinglish,12
मैंने कितना किया,payment_history,hindi,12
और कितना चल पाएगी गाड़ी,check_battery_range,hindi,2
payment kitna karna hai,payment_inquiry,hinglish,13
how much do I owe,payment_inquiry,english,13
agent se baat karao bhai,talk_to_agent,hinglish,19
nearest swap location,find_swap_station,english,8
कितनी दूर जा सकता हूं,check_battery_range,hindi,2
haan bhai,affirm,hinglish,0
बकाया कितना है,payment_inquiry,hindi,13
I want to talk to a person,talk_to_agent,english,19
bhai swap point kahan hai,find_swap_station,hinglish,8
payment kaise karun,make_payment,hinglish,11
no,deny,english,7
आज कितने स्वैप किए,swap_history,hindi,18
बैटरी क्या है,check_battery_status,hindi,3
plan kitne ka hai,check_subscription,hinglish,6
I want to talk to a person,talk_to_agent,english,19
battery ka level batao,check_battery_status,hinglish,3
रास्ता बताओ स्टेशन का,station_directions,hindi,15
इंसान से बात करनी है,talk_to_agent,hindi,19
प्लान कितने का है,check_subscription,hindi,6
किलोमीटर की रेंज,check_battery_range,hindi,2
what is my bill,payment_inquiry,english,13
change subscription,upgrade_subscription,english,22
issue hai yaar,report_issue,hinglish,14
last swap kab hua,swap_history,hinglish,18
yaar aaj ke swap count,swap_count,hinglish,17
check my subscription,check_subscription,english,6
स्टेशन पर बैटरी उपलब्ध है,check_station_availability,hindi,5
tell me battery percentage,check_battery_status,english,3
I have a complaint,report_issue,english,14
how far can I go,check_battery_range,english,2
ठीक है,affirm,hindi,0
is mahine kitne hue,swap_count,hinglish,17
something is wrong,report_issue,english,14
payment kitna karna hai,payment_inquiry,hinglish,13
station kaise pahunche,station_directions,hinglish,15
फिर बात करते हैं,bye,hindi,1
yaar mera bill kitna hai,payment_inquiry,hinglish,13
ke swap count,swap_count,hinglish,17
प्लान कितने का है,check_subscription,hindi,6
payment due amount,payment_inquiry,english,13
charge bacha hai,check_battery_status,hinglish,3
I need help,help_general,english,10
bye,bye,hinglish,1
कितने किलोमीटर की रेंज है,check_battery_range,hindi,2
पेमेंट हिस्ट्री दिखाओ,payment_history,hindi,12
क्या पूछ सकता हूं,help_general,hindi,10
station tak kaise jana hai,station_directions,hinglish,15
correct,affirm,english,0
plan kitne ka hai,check_subscription,hinglish,6
how much payment is due,payment_inquiry,english,13
kitni door ja sakta hun,check_battery_range,hinglish,2
where is the nearest swap station,find_swap_station,english,8
total kitne swap kiye,swap_count,hinglish,17
aaj ke swap count,swap_count,hinglish,17
कितनी दूर जा सकता हूं,check_battery_range,hindi,2
wahan milegi kya,check_station_availability,hinglish,5
क्या सकते हो,help_general,hindi,10
mera bill kitna hai,payment_inquiry,hinglish,13
to reach the station,station_directions,english,15
directions to swap station,station_directions,english,15
dhanyawad,thank,hinglish,20
बाय,bye,hindi,1
station kitni door hai,find_swap_station,hinglish,8
पिछला कब,swap_history,hindi,18
बैटरी कहाँ बदलूं,find_swap_station,hindi,8
कितने किलोमीटर हुए,check_ride_stats,hindi,4
मेरा प्लान क्या है,check_subscription,hindi,6
thoda swap record batao,swap_history,hinglish,18
speak to someone,talk_to_agent,english,19
नहीं,deny,hindi,7
mera plan kya hai,check_subscription,hinglish,6
my plan expire,check_subscription,english,6
paas mein swap station batao,find_swap_station,hinglish,8
past payments,payment_history,english,12
pichle payment ki details,payment_history,hinglish,12
swap history dikhao,swap_history,hinglish,18
स्टेशन पर बैटरी उपलब्ध है,check_station_availability,hindi,5
bilkul,affirm,hinglish,0
does station have battery,check_station_availability,english,5
bhai aaj kitna chala,check_ride_stats,hinglish,4
what is the range,check_battery_range,english,2
galat,deny,hinglish,7
yaar battery health kaisi hai,check_battery_status,hinglish,3
खुला है क्या,check_station_availability,hindi,5
स्टेशन कैसे पहुंचे,station_directions,hindi,15
where can I swap battery,find_swap_station,english,8
range kitni hai,check_battery_range,hinglish,2
kitna charge bacha hai,check_battery_status,hinglish,3
tell me battery percentage,check_battery_status,english,3
मेरी बैटरी की जानकारी दो,check_battery_status,hindi,3
hello,greet,hinglish,9
bhai pending payment kitna hai,payment_inquiry,hinglish,13
check battery level,check_battery_status,english,3
zara battery status kya hai,check_battery_status,hinglish,3
theek hai,affirm,hinglish,0
insaan se baat karni hai,talk_to_agent,hinglish,19
hey,greet,english,9
क्या क्या पूछ सकता हूं,help_general,hindi,10
आज कितने स्वैप किए,swap_count,hindi,17
kitni door hai,find_swap_station,hinglish,8
और कितना चल पाएगी गाड़ी,check_battery_range,hindi,2
कस्टमर केयर से बात कराओ,talk_to_agent,hindi,19
battery kahan change karun,find_swap_station,hinglish,8
हेल्प करो,help_general,hindi,10
yahan se nearest station,find_swap_station,hinglish,8
battery nearby,find_swap_station,english,8
bhai battery hai station pe,check_station_availability,hinglish,5
zara kitna payment baaki hai,payment_inquiry,hinglish,13
sabse pass wala station,find_swap_station,hinglish,8
गलत,deny,hindi,7
human support please,talk_to_agent,english,19
sahi hai,affirm,hinglish,0
how much I drove today,check_ride_stats,english,4
how many kilometers left,check_battery_range,english,2
theek hai thoda,affirm,hinglish,0
सही है,affirm,hindi,0
is mahine kitne swap hue zara,swap_count,hinglish,17
rasta batao station ka,station_directions,hinglish,15
स्वैप हिस्ट्री दिखाओ,swap_history,hindi,18
battery swap history,swap_history,english,18
थैंक यू,thank,hindi,20
connect to human,talk_to_agent,english,19
rasta batao station ka,station_directions,hinglish,15
सबसे करीब स्वैप पॉइंट,find_swap_station,hindi,8
पेमेंट ड्यू कितना है,payment_inquiry,hindi,13
बेहतर प्लान चाहिए,upgrade_subscription,hindi,22
aur kitna chal payegi,check_battery_range,hinglish,2
renew my subscription,subscription_renewal,english,16
सब्सक्रिप्शन रिन्यू करना है,subscription_renewal,hindi,16
problem hai,report_issue,hinglish,14
zara sahi hai,affirm,hinglish,0
please rasta batao station ka,station_directions,hinglish,15
अलविदा,bye,hindi,1
कितना करना है,payment_inquiry,hindi,13
स्टेशन कैसे जाना,station_directions,hindi,15
वहां मिलेगी क्या,check_station_availability,hindi,5
battery status kya hai,check_battery_status,hinglish,3
dues kitne hain bhai,payment_inquiry,hinglish,13
पिछले पेमेंट की जानकारी,payment_history,hindi,12
I have a problem,report_issue,english,14
is battery available at station,check_station_availability,english,5
एजेंट से बात कराओ,talk_to_agent,hindi,19
swap count,swap_count,english,17
कितने पैसे देने हैं,payment_inquiry,hindi,13
help karo,help_general,hinglish,10
check station availability,check_station_availability,english,5
kisi se baat karni hai please,talk_to_agent,hinglish,19
सबसे करीब पॉइंट,find_swap_station,hindi,8
ride statistics,check_ride_stats,english,4
शिकायत करनी है,report_issue,hindi,14
how much charge is left,check_battery_status,english,3
I want to make payment,make_payment,english,11
बिल भरना है,make_payment,hindi,11
how many swaps this month,swap_count,english,17
इश्यू है,report_issue,hindi,14
please station par battery available hai,check_station_availability,hinglish,5
battery kitni bachi hai,check_battery_status,hinglish,3
konsa plan hai mera,check_subscription,hinglish,6
subscription details,check_subscription,english,6
wahan battery milegi kya,check_station_availability,hinglish,5
I have a complaint,report_issue,english,14
ji haan,affirm,hinglish,0
subscription kab expire,check_subscription,hinglish,6
last swap kab hua,swap_history,hinglish,18
nope,deny,english,7
wrong,deny,english,7
total swaps done,swap_count,english,17
what is my subscription plan,check_subscription,english,6
कितने पैसे देने हैं,payment_inquiry,hindi,13
kisi se baat karni hai,talk_to_agent,hinglish,19
करना है,upgrade_subscription,hindi,22
कुल कितने स्वैप,swap_count,hindi,17
subscription ki details batao,check_subscription,hinglish,6
बैटरी करनी है कहाँ करूं,find_swap_station,hindi,8
swap point kahan hai,find_swap_station,hinglish,8
swap point kahan hai,find_swap_station,hinglish,8
plan details dikhao bhai,check_subscription,hinglish,6
subscription status batao,check_subscription,hinglish,6
subscription badhana hai,subscription_renewal,hinglish,16
नजदीकी बैटरी स्टेशन बताओ,find_swap_station,hindi,8
talk to agent,talk_to_agent,english,19
बैटरी हेल्थ कैसी है,check_battery_status,hindi,3
thoda subscription badhana hai,subscription_renewal,hinglish,16
make payment,make_payment,english,11
which plan am I on,check_subscription,english,6
बिल्कुल,affirm,hindi,0
सब्सक्रिप्शन डिटेल्स बताओ,check_subscription,hindi,6
बैटरी कितने है,check_battery_status,hindi,3
how much battery remaining,check_battery_status,english,3
better plan options,upgrade_subscription,english,22
is the station open,check_station_availability,english,5
बैटरी लेवल क्या है,check_battery_status,hindi,3
subscription renew karna hai,subscription_renewal,hinglish,16
namaste,greet,hinglish,9
क्या कर सकते हो,help_general,hindi,10
human se baat karao,talk_to_agent,hinglish,19
battery ka level batao,check_battery_status,hinglish,3
kisi se baat karni hai,talk_to_agent,hinglish,19
नजदीकी बैटरी स्टेशन बताओ,find_swap_station,hindi,8
subscription ki details batao,check_subscription,hinglish,6
पैसे देने हैं,make_payment,hindi,11
battery mein kitna charge hai,check_battery_status,hinglish,3
paise dene hain,make_payment,hinglish,11
closest battery station,find_swap_station,english,8
battery health status,check_battery_status,english,3
pending payment kitna hai,payment_inquiry,hinglish,13
bhai aaj kitne swap kiye,swap_history,hinglish,18
customer care connect karo,talk_to_agent,hinglish,19
station khula hai kya,check_station_availability,hinglish,5
battery kahan change karun,find_swap_station,hinglish,8
बैटरी चेंज करनी है कहाँ करूं,find_swap_station,hindi,8
subscription renew karna hai,subscription_renewal,hinglish,16
से बात करनी है,talk_to_agent,hindi,19
that's all,bye,english,1
good evening,greet,english,9
